WNP A585,WNP OD600,WOP A585,WNP OD600,Butanol
0.045,2.793,0.047,6.22,0.047
0.048,3.092,0.044,4.27,0.047
0.049,3.053,0.045,4.07,0.047
0.048,3.051,0.045,4.78,0.047
0.065,4.99,0.045,4.46,0.047
