Day,Name,Ratio
10,P,1
10,P,1
10,P,1
20,P,0.948275862
20,P,0.734693878
20,P,0.929824561
20,W,1
20,W,0.982758621
20,W,0.980769231
32,P,0.892070485
32,P,0.866336634
32,P,0.808411215
32,W,0.555831266
32,W,0.930362117
32,W,0.879487179
41,P,0.882154882
41,P,0.497584541
41,P,0.736677116
41,W,0.767790262
41,W,0.721854305
41,W,0.920529801
52,P,0.718820862
52,P,0.688202247
52,P,0.681715576
52,W,0.542682927
52,W,0.691616766
52,W,0.939130435
